id,conditionId,slug,url,embedSrc,question,category,eventId,why,volume,volume24h,momentumDelta24h,momentumPct24h,endDateISO,timeToResolveDays,outcomeCount,avgSpread,underround,binaryMidYes,near50Flag,bestQuotesJSON,bucket,rank
2767034,0x94e50623d3cfdc1256e16ff372062d42c282bec8af620bb732a19fb4b0dce580,fifwc-mex-eng-2026-07-05-team-to-advance,https://polymarket.com/event/fifwc-mex-eng-2026-07-05-team-to-advance,https://embed.polymarket.com/market.html?market=fifwc-mex-eng-2026-07-05-team-to-advance&features=volume&theme=light,Mexico vs. England: Team to Advance,sports,,"24h $847,810 • spread 0.010 • TTR 0.8d • ~50% mid",1433234.3686139837,847810.85,-0.01,-2.1053,2026-07-06T00:00:00+00:00,0.836,1,0.01,-0.53,0.465,1,"[{""name"": ""Top"", ""bestBid"": 0.46, ""bestAsk"": 0.47}]",HOT,1
2754839,0xf134b5d6d31ea59fe65cb22961ec1120e41a2451ef9311d6b750d6638a1c9322,fifwc-bra-nor-2026-07-05-total-2pt5,https://polymarket.com/event/fifwc-bra-nor-2026-07-05-total-2pt5,https://embed.polymarket.com/market.html?market=fifwc-bra-nor-2026-07-05-total-2pt5&features=volume&theme=light,Brazil vs. Norway: O/U 2.5,sports,,"24h $814,038 • spread 0.010 • TTR 0.7d • ~50% mid",869868.6654079987,814038.13,0.01,1.8018,2026-07-05T20:00:00+00:00,0.669,1,0.01,-0.43,0.565,1,"[{""name"": ""Top"", ""bestBid"": 0.56, ""bestAsk"": 0.57}]",HOT,2
2754647,0x2a0e8ce7c309ec8015c4c721dec574ff100b0512ef412a54bb733dc5bef740dc,fifwc-bra-nor-2026-07-05-bra,https://polymarket.com/event/fifwc-bra-nor-2026-07-05-bra,https://embed.polymarket.com/market.html?market=fifwc-bra-nor-2026-07-05-bra&features=volume&theme=light,Will Brazil win on 2026-07-05?,sports,,"24h $569,786 • spread 0.010 • TTR 0.7d • ~50% mid",1098199.0766149722,569786.94,0.0,0.0,2026-07-05T20:00:00+00:00,0.669,1,0.01,-0.46,0.535,1,"[{""name"": ""Top"", ""bestBid"": 0.53, ""bestAsk"": 0.54}]",HOT,3
2782798,0x34432ae59cf61fa9e03bf2813b5f7ed6511fe08bb44434ded994df48701d4234,lol-tsw-tes-2026-07-04,https://polymarket.com/event/lol-tsw-tes-2026-07-04,https://embed.polymarket.com/market.html?market=lol-tsw-tes-2026-07-04&features=volume&theme=light,LoL: Team Secret Whales vs Top Esports (BO5) - Mid-Season Invitational Playoffs,esports,,"24h $790,634 • spread 0.010 • TTR 0.2d",798027.6610149994,790634.96,0.2,235.2941,2026-07-05T09:00:00+00:00,0.211,1,0.01,-0.75,0.245,0,"[{""name"": ""Top"", ""bestBid"": 0.24, ""bestAsk"": 0.25}]",HOT,4
2069638,0xfa021d817ad33e0fa28e04051b4fea25b0a090e94bb1b2a38b377bce9778eb8e,will-kylian-mbappe-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://polymarket.com/event/will-kylian-mbappe-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://embed.polymarket.com/market.html?market=will-kylian-mbappe-be-the-top-goalscorer-at-the-2026-fifa-world-cup&features=volume&theme=light,Will Kylian Mbappe be the top goalscorer at the 2026 FIFA World Cup?,2026-fifa-world-cup,,"24h $162,080 • spread 0.010 • TTR 14.8d • ~50% mid",2168872.8483649925,162080.56,0.04,8.2474,2026-07-20T00:00:00+00:00,14.836,1,0.01,-0.47,0.525,1,"[{""name"": ""Top"", ""bestBid"": 0.52, ""bestAsk"": 0.53}]",HOT,5
2069648,0x9b21cf64d79319aa8f7cfdd480bec7356190354da2f581383245ace71d940e69,will-igor-thiago-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://polymarket.com/event/will-igor-thiago-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://embed.polymarket.com/market.html?market=will-igor-thiago-be-the-top-goalscorer-at-the-2026-fifa-world-cup&features=volume&theme=light,Will Igor Thiago be the top goalscorer at the 2026 FIFA World Cup?,2026-fifa-world-cup,,TTR 14.8d,1629557.4251269992,,0.0,0.0,2026-07-20T00:00:00+00:00,14.836,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,6
2069669,0x628b31594cadce2e57764e779fd7ecaf8fc754ddf971064b505e3eabdde71e11,will-bukayo-saka-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://polymarket.com/event/will-bukayo-saka-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://embed.polymarket.com/market.html?market=will-bukayo-saka-be-the-top-goalscorer-at-the-2026-fifa-world-cup&features=volume&theme=light,Will Bukayo Saka be the top goalscorer at the 2026 FIFA World Cup?,2026-fifa-world-cup,,TTR 14.8d,1569026.351710998,,0.0,0.0,2026-07-20T00:00:00+00:00,14.836,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,7
2782794,0xa8aba0589ffa64ce5fa81e35c91222da2f8be2db298ea5612f8642a0d21ea27d,lol-tsw-tes-2026-07-04-game1,https://polymarket.com/event/lol-tsw-tes-2026-07-04-game1,https://embed.polymarket.com/market.html?market=lol-tsw-tes-2026-07-04-game1&features=volume&theme=light,LoL: Team Secret Whales vs Top Esports - Game 1 Winner,esports,,"24h $968,890 • spread 0.001 • TTR 0.1d",968995.9350809992,968890.1,0.8195,455.2778,2026-07-05T07:00:00+00:00,0.128,1,0.001,0.0,0.9995,0,"[{""name"": ""Top"", ""bestBid"": 0.999, ""bestAsk"": 1.0}]",HOT,8
2176262,0xb8e6d129a06d0ccb21d7b32eb529ea455eddba3cf29bfa097112202cbdf5bf21,strait-of-hormuz-traffic-returns-to-normal-by-july-31,https://polymarket.com/event/strait-of-hormuz-traffic-returns-to-normal-by-july-31,https://embed.polymarket.com/market.html?market=strait-of-hormuz-traffic-returns-to-normal-by-july-31&features=volume&theme=light,Strait of Hormuz traffic returns to normal by July 31?,politics,,"24h $274,254 • spread 0.010 • TTR 25.8d",12023640.583040249,274254.13,-0.08,-34.0426,2026-07-31T00:00:00+00:00,25.836,1,0.01,-0.84,0.155,0,"[{""name"": ""Top"", ""bestBid"": 0.15, ""bestAsk"": 0.16}]",HOT,9
540844,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,will-bitcoin-hit-1m-before-gta-vi-872-424,https://polymarket.com/event/will-bitcoin-hit-1m-before-gta-vi-872-424,https://embed.polymarket.com/market.html?market=will-bitcoin-hit-1m-before-gta-vi-872-424&features=volume&theme=light,Will bitcoin hit $1m before GTA VI?,pop-culture,,"24h $6,588 • spread 0.001 • TTR 26.3d • ~50% mid",4565802.511277519,6588.79,0.0,0.0,2026-07-31T12:00:00+00:00,26.336,1,0.001,-0.504,0.4955,1,"[{""name"": ""Top"", ""bestBid"": 0.495, ""bestAsk"": 0.496}]",HOT,10
