id,conditionId,slug,url,embedSrc,question,category,eventId,why,volume,volume24h,momentumDelta24h,momentumPct24h,endDateISO,timeToResolveDays,outcomeCount,avgSpread,underround,binaryMidYes,near50Flag,bestQuotesJSON,bucket,rank
2941971,0xc41f543ccb7a1a35a200c28096cc2e5c2351c54546087f4f6cf5c4ef3e0c1aa5,fifwc-fra-eng-2026-07-18-fra,https://polymarket.com/event/fifwc-fra-eng-2026-07-18-fra,https://embed.polymarket.com/market.html?market=fifwc-fra-eng-2026-07-18-fra&features=volume&theme=light,Will France win on 2026-07-18?,sports,,"24h $3,229,567 • spread 0.010 • TTR 0.1d • ~50% mid",5097267.45372501,3229567.14,0.02,3.9604,2026-07-18T21:00:00+00:00,0.075,1,0.01,-0.47,0.525,1,"[{""name"": ""Top"", ""bestBid"": 0.52, ""bestAsk"": 0.53}]",HOT,1
2960230,0x0db7232eafb1882507f163f73655f262c6b84413f7567b0c0d105628cace065d,lol-gen-dk-2026-07-18,https://polymarket.com/event/lol-gen-dk-2026-07-18,https://embed.polymarket.com/market.html?market=lol-gen-dk-2026-07-18&features=volume&theme=light,LoL: Gen.G vs Dplus KIA (BO3) - Esports World Cup Playoffs,esports,,"24h $4,727,551 • TTR 0.0d",4740951.786319986,4727551.71,-0.7845,-99.9363,2026-07-18T20:10:00+00:00,0.04,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,2
2947646,0xc186150831bc70982dfd374acc848fc51ae2bc4ab5b2fd037213deb5f46d9f44,dota2-ty-pari-2026-07-18,https://polymarket.com/event/dota2-ty-pari-2026-07-18,https://embed.polymarket.com/market.html?market=dota2-ty-pari-2026-07-18&features=volume&theme=light,Dota 2: Team Yandex vs PARIVISION (BO3) - Esports World Cup Playoffs,esports,,"24h $1,633,297 • TTR 0.0d",1652818.5533139987,1633297.39,-0.5445,-99.9083,2026-07-18T19:50:00+00:00,0.026,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,3
2942114,0x8ee99ee9a4b5e2c9ef24d5eadd17890a8961f1bfd9a3f3f321d40cf0f617efc6,fifwc-fra-eng-2026-07-18-total-3pt5,https://polymarket.com/event/fifwc-fra-eng-2026-07-18-total-3pt5,https://embed.polymarket.com/market.html?market=fifwc-fra-eng-2026-07-18-total-3pt5&features=volume&theme=light,France vs. England: O/U 3.5,sports,,"24h $576,081 • spread 0.010 • TTR 0.1d • ~50% mid",1214271.2917639988,576081.63,0.0,0.0,2026-07-18T21:00:00+00:00,0.075,1,0.01,-0.55,0.445,1,"[{""name"": ""Top"", ""bestBid"": 0.44, ""bestAsk"": 0.45}]",HOT,4
2942083,0x4b045e092c3166aa29d4864c11dffe7e316daafdac5677f11aa5cd16065fd042,fifwc-esp-arg-2026-07-19-team-to-advance,https://polymarket.com/event/fifwc-esp-arg-2026-07-19-team-to-advance,https://embed.polymarket.com/market.html?market=fifwc-esp-arg-2026-07-19-team-to-advance&features=volume&theme=light,Spain vs. Argentina: Team to Advance,sports,,"24h $1,141,564 • spread 0.003 • TTR 1.0d • ~50% mid",2696648.84679395,1141564.48,0.00125,0.2101,2026-07-19T19:00:00+00:00,0.991,1,0.0025,-0.4025,0.59625,1,"[{""name"": ""Top"", ""bestBid"": 0.595, ""bestAsk"": 0.5975}]",HOT,5
2069635,0xd2a8caba5559bc21e14f6b2aa504cb14a1782751658b71409e25b82e432c0a97,will-lionel-messi-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://polymarket.com/event/will-lionel-messi-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://embed.polymarket.com/market.html?market=will-lionel-messi-be-the-top-goalscorer-at-the-2026-fifa-world-cup&features=volume&theme=light,Will Lionel Messi be the top goalscorer at the 2026 FIFA World Cup?,2026-fifa-world-cup,,"24h $240,230 • spread 0.001 • TTR 1.2d • ~50% mid",5737361.156217954,240230.56,-0.019,-3.273,2026-07-20T00:00:00+00:00,1.2,1,0.001,-0.438,0.5615,1,"[{""name"": ""Top"", ""bestBid"": 0.561, ""bestAsk"": 0.562}]",HOT,6
2069638,0xfa021d817ad33e0fa28e04051b4fea25b0a090e94bb1b2a38b377bce9778eb8e,will-kylian-mbappe-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://polymarket.com/event/will-kylian-mbappe-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://embed.polymarket.com/market.html?market=will-kylian-mbappe-be-the-top-goalscorer-at-the-2026-fifa-world-cup&features=volume&theme=light,Will Kylian Mbappe be the top goalscorer at the 2026 FIFA World Cup?,2026-fifa-world-cup,,"24h $135,755 • spread 0.010 • TTR 1.2d • ~50% mid",5370304.092053912,135755.22,0.02,4.8193,2026-07-20T00:00:00+00:00,1.2,1,0.01,-0.56,0.435,1,"[{""name"": ""Top"", ""bestBid"": 0.43, ""bestAsk"": 0.44}]",HOT,7
2069674,0xeefef4320deec275a7191ad901469eec59544dc1fd53fed93f6d3b97c33787a5,will-mikel-oyarzabal-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://polymarket.com/event/will-mikel-oyarzabal-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://embed.polymarket.com/market.html?market=will-mikel-oyarzabal-be-the-top-goalscorer-at-the-2026-fifa-world-cup&features=volume&theme=light,Will Mikel Oyarzabal be the top goalscorer at the 2026 FIFA World Cup?,2026-fifa-world-cup,,"24h $70,155 • TTR 1.2d",5188930.006162993,70155.45,-0.001,-66.6667,2026-07-20T00:00:00+00:00,1.2,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,8
2555351,0xb12f5e328a7d9f7a26e0a074625ea775025104e673c776d575dab422a472ef59,israel-closes-its-airspace-by-july-31-287,https://polymarket.com/event/israel-closes-its-airspace-by-july-31-287,https://embed.polymarket.com/market.html?market=israel-closes-its-airspace-by-july-31-287&features=volume&theme=light,Israel closes its airspace by July 31?,politics,,"24h $49,680 • spread 0.030 • TTR 12.2d",1668047.3591570046,49680.68,0.08,45.7143,2026-07-31T00:00:00+00:00,12.2,1,0.03,-0.73,0.255,0,"[{""name"": ""Top"", ""bestBid"": 0.24, ""bestAsk"": 0.27}]",HOT,9
2643400,0x636f780f794635820e8cafe81924ef2dd67622fc01b6b2e5e64e9cc99593a005,will-iran-announce-withdrawal-from-mou-negotiations-by-july-31-20260622191733846-586-829-787,https://polymarket.com/event/will-iran-announce-withdrawal-from-mou-negotiations-by-july-31-20260622191733846-586-829-787,https://embed.polymarket.com/market.html?market=will-iran-announce-withdrawal-from-mou-negotiations-by-july-31-20260622191733846-586-829-787&features=volume&theme=light,Will Iran announce withdrawal from MOU negotiations by July 31?,iran,,"24h $183,319 • spread 0.010 • TTR 13.2d",2303068.371626006,183319.1,0.03,20.6897,2026-07-31T23:59:00+00:00,13.199,1,0.01,-0.82,0.175,0,"[{""name"": ""Top"", ""bestBid"": 0.17, ""bestAsk"": 0.18}]",HOT,10
