id,conditionId,slug,url,embedSrc,question,category,eventId,why,volume,volume24h,momentumDelta24h,momentumPct24h,endDateISO,timeToResolveDays,outcomeCount,avgSpread,underround,binaryMidYes,near50Flag,bestQuotesJSON,bucket,rank
2805534,0x2037b257e602784d35e800c8c7880f56331791e03aaacae5864d8a78db303948,fifwc-fra-mar-2026-07-09-total-2pt5,https://polymarket.com/event/fifwc-fra-mar-2026-07-09-total-2pt5,https://embed.polymarket.com/market.html?market=fifwc-fra-mar-2026-07-09-total-2pt5&features=volume&theme=light,France vs. Morocco: O/U 2.5,sports,,"24h $1,367,741 • spread 0.010 • TTR 0.7d • ~50% mid",2089685.31980099,1367741.12,0.0,0.0,2026-07-09T20:00:00+00:00,0.676,1,0.01,-0.52,0.475,1,"[{""name"": ""Top"", ""bestBid"": 0.47, ""bestAsk"": 0.48}]",HOT,1
2804853,0xc09537a0976d0927901432859fbb6dfe5d23d1d69bb4e8355253e7b142a44e83,fifwc-fra-mar-2026-07-09-fra,https://polymarket.com/event/fifwc-fra-mar-2026-07-09-fra,https://embed.polymarket.com/market.html?market=fifwc-fra-mar-2026-07-09-fra&features=volume&theme=light,Will France win on 2026-07-09?,sports,,"24h $1,884,492 • spread 0.010 • TTR 0.7d",3445298.1845320244,1884492.08,0.0,0.0,2026-07-09T20:00:00+00:00,0.676,1,0.01,-0.37,0.625,0,"[{""name"": ""Top"", ""bestBid"": 0.62, ""bestAsk"": 0.63}]",HOT,2
2814671,0x487187034dadebc71441bd70c34351eb189c12a05c99220eb43be41b919e9261,lol-blg-hle1-2026-07-09,https://polymarket.com/event/lol-blg-hle1-2026-07-09,https://embed.polymarket.com/market.html?market=lol-blg-hle1-2026-07-09&features=volume&theme=light,LoL: Bilibili Gaming vs Hanwha Life Esports (BO5) - Mid-Season Invitational Playoffs,esports,,"24h $614,896 • spread 0.010 • TTR 0.4d",740585.9325830009,614896.81,-0.02,-5.0633,2026-07-09T14:00:00+00:00,0.426,1,0.01,-0.62,0.375,0,"[{""name"": ""Top"", ""bestBid"": 0.37, ""bestAsk"": 0.38}]",HOT,3
2805541,0x9918c9f426379e48d5e6a6fbf591e75e5b4a9cd33807b097810fdbaf3aebd1b4,fifwc-fra-mar-2026-07-09-team-to-advance,https://polymarket.com/event/fifwc-fra-mar-2026-07-09-team-to-advance,https://embed.polymarket.com/market.html?market=fifwc-fra-mar-2026-07-09-team-to-advance&features=volume&theme=light,France vs. Morocco: Team to Advance,sports,,"24h $2,169,538 • spread 0.010 • TTR 0.7d",3214624.146283049,2169538.65,-0.01,-1.2739,2026-07-09T20:00:00+00:00,0.676,1,0.01,-0.22,0.775,0,"[{""name"": ""Top"", ""bestBid"": 0.77, ""bestAsk"": 0.78}]",HOT,4
2069662,0x8a743d2c48a6ffc5763e2209d4cf1053ccbae1a6eb80cc33bd702a3fe4b10156,will-michael-olise-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://polymarket.com/event/will-michael-olise-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://embed.polymarket.com/market.html?market=will-michael-olise-be-the-top-goalscorer-at-the-2026-fifa-world-cup&features=volume&theme=light,Will Michael Olise be the top goalscorer at the 2026 FIFA World Cup?,2026-fifa-world-cup,,TTR 10.8d,2616322.5545849986,,0.0,0.0,2026-07-20T00:00:00+00:00,10.843,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,5
1087894,0x9f6c180ed79bccf08b3d58d23c6af3a87afd4d0b176e770c6951a573dcaee814,will-alexander-zverev-be-the-2026-mens-wimbledon-winner,https://polymarket.com/event/will-alexander-zverev-be-the-2026-mens-wimbledon-winner,https://embed.polymarket.com/market.html?market=will-alexander-zverev-be-the-2026-mens-wimbledon-winner&features=volume&theme=light,Will Alexander Zverev be the 2026 Men’s Wimbledon winner?,wimbledon,,"24h $90,651 • spread 0.012 • TTR 2.8d",1171539.7955020012,90651.57,0.1355,143.3862,2026-07-12T00:00:00+00:00,2.843,1,0.012,-0.764,0.23,0,"[{""name"": ""Top"", ""bestBid"": 0.224, ""bestAsk"": 0.236}]",HOT,6
2686769,0x6c486242e79252cc0bb57163a3b8d95e3b9538ea6a1de2e91848beeb5c6ad986,iran-full-airspace-closure-by-july-15-20260625195254149,https://polymarket.com/event/iran-full-airspace-closure-by-july-15-20260625195254149,https://embed.polymarket.com/market.html?market=iran-full-airspace-closure-by-july-15-20260625195254149&features=volume&theme=light,Iran full airspace closure by July 15?,iran,,"24h $382,764 • spread 0.006 • TTR 6.8d",1190669.6834230006,382764.28,0.0785,95.1515,2026-07-15T23:59:00+00:00,6.842,1,0.006,-0.841,0.156,0,"[{""name"": ""Top"", ""bestBid"": 0.153, ""bestAsk"": 0.159}]",HOT,7
2069669,0x628b31594cadce2e57764e779fd7ecaf8fc754ddf971064b505e3eabdde71e11,will-bukayo-saka-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://polymarket.com/event/will-bukayo-saka-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://embed.polymarket.com/market.html?market=will-bukayo-saka-be-the-top-goalscorer-at-the-2026-fifa-world-cup&features=volume&theme=light,Will Bukayo Saka be the top goalscorer at the 2026 FIFA World Cup?,2026-fifa-world-cup,,TTR 10.8d,1579657.6017109978,,0.0,0.0,2026-07-20T00:00:00+00:00,10.843,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,8
2069635,0xd2a8caba5559bc21e14f6b2aa504cb14a1782751658b71409e25b82e432c0a97,will-lionel-messi-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://polymarket.com/event/will-lionel-messi-be-the-top-goalscorer-at-the-2026-fifa-world-cup,https://embed.polymarket.com/market.html?market=will-lionel-messi-be-the-top-goalscorer-at-the-2026-fifa-world-cup&features=volume&theme=light,Will Lionel Messi be the top goalscorer at the 2026 FIFA World Cup?,2026-fifa-world-cup,,"24h $65,348 • spread 0.001 • TTR 10.8d",2599579.7775749895,65348.94,0.008,2.086,2026-07-20T00:00:00+00:00,10.843,1,0.001,-0.608,0.3915,0,"[{""name"": ""Top"", ""bestBid"": 0.391, ""bestAsk"": 0.392}]",HOT,9
1654958,0x8bf1c1536ecb1c08fe13c6b71e8ab1f58bf3461c4cb79f5f1679f869a06aef86,will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting,https://polymarket.com/event/will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting,https://embed.polymarket.com/market.html?market=will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting&features=volume&theme=light,Will there be no change in Fed interest rates after the July 2026 meeting?,economic-policy,,"24h $1,000,576 • spread 0.010 • TTR 19.8d",12103102.65982703,1000576.64,-0.01,-1.2739,2026-07-29T00:00:00+00:00,19.843,1,0.01,-0.22,0.775,0,"[{""name"": ""Top"", ""bestBid"": 0.77, ""bestAsk"": 0.78}]",HOT,10
