id,slug,url,embedSrc,question,category,why,volume,volume24h,trades24h,uniqueTraders24h,momentumDelta24h,momentumPct24h,endDateISO,timeToResolveDays,outcomeCount,avgSpread,underround,binaryMidYes,near50Flag,bestQuotesJSON,avgSpreadProxy
601697,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,https://polymarket.com/event/fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,https://embed.polymarket.com/market.html?market=fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting&features=volume&theme=light,Fed decreases interest rates by 50+ bps after January 2026 meeting?,,"24h $864,899 • spread 0.001 • TTR 2.2d",193117003.72437,864899.147535,5000,0,0.176808,50.0601,2026-01-28T00:00:00+00:00,2.222,1,0.001,-0.998,0.0015,0,"[{""name"": ""Top"", ""bestBid"": 0.001, ""bestAsk"": 0.002}]",
601700,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,https://polymarket.com/event/fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,https://embed.polymarket.com/market.html?market=fed-increases-interest-rates-by-25-bps-after-january-2026-meeting&features=volume&theme=light,Fed increases interest rates by 25+ bps after January 2026 meeting?,,"24h $864,899 • spread 0.998 • TTR 2.2d",170431853.947747,864899.147535,5000,0,0.176808,50.0601,2026-01-28T00:00:00+00:00,2.222,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998
601698,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,https://polymarket.com/event/fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,https://embed.polymarket.com/market.html?market=fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting&features=volume&theme=light,Fed decreases interest rates by 25 bps after January 2026 meeting?,,"24h $864,899 • spread 0.001 • TTR 2.2d",62247584.888771,864899.147535,5000,0,0.176808,50.0601,2026-01-28T00:00:00+00:00,2.222,1,0.001,-0.992,0.0075,0,"[{""name"": ""Top"", ""bestBid"": 0.007, ""bestAsk"": 0.008}]",
601699,no-change-in-fed-interest-rates-after-january-2026-meeting,https://polymarket.com/event/no-change-in-fed-interest-rates-after-january-2026-meeting,https://embed.polymarket.com/market.html?market=no-change-in-fed-interest-rates-after-january-2026-meeting&features=volume&theme=light,No change in Fed interest rates after January 2026 meeting?,,"24h $864,899 • spread 0.001 • TTR 2.2d",61571196.705767,864899.147535,5000,0,0.176808,50.0601,2026-01-28T00:00:00+00:00,2.222,1,0.001,-0.008,0.9915,0,"[{""name"": ""Top"", ""bestBid"": 0.991, ""bestAsk"": 0.992}]",
1106713,khamenei-out-as-supreme-leader-of-iran-by-january-31,https://polymarket.com/event/khamenei-out-as-supreme-leader-of-iran-by-january-31,https://embed.polymarket.com/market.html?market=khamenei-out-as-supreme-leader-of-iran-by-january-31&features=volume&theme=light,Khamenei out as Supreme Leader of Iran by January 31?,,"24h $864,899 • spread 0.003 • TTR 5.2d",42257697.546603,864899.147535,5000,0,0.176808,50.0601,2026-01-31T00:00:00+00:00,5.222,1,0.003,-0.966,0.0325,0,"[{""name"": ""Top"", ""bestBid"": 0.031, ""bestAsk"": 0.034}]",
704339,russia-x-ukraine-ceasefire-by-january-31-2026,https://polymarket.com/event/russia-x-ukraine-ceasefire-by-january-31-2026,https://embed.polymarket.com/market.html?market=russia-x-ukraine-ceasefire-by-january-31-2026&features=volume&theme=light,"Russia x Ukraine ceasefire by January 31, 2026?",,"24h $864,899 • spread 0.001 • TTR 5.2d",21845202.615551,864899.147535,5000,0,0.176808,50.0601,2026-01-31T00:00:00+00:00,5.222,1,0.001,-0.994,0.0055,0,"[{""name"": ""Top"", ""bestBid"": 0.005, ""bestAsk"": 0.006}]",
1092199,us-strikes-iran-by-january-31-2026-165,https://polymarket.com/event/us-strikes-iran-by-january-31-2026-165,https://embed.polymarket.com/market.html?market=us-strikes-iran-by-january-31-2026-165&features=volume&theme=light,"US strikes Iran by January 31, 2026?",,"24h $864,899 • spread 0.010 • TTR 5.2d",21657806.750135,864899.147535,5000,0,0.176808,50.0601,2026-01-31T00:00:00+00:00,5.222,1,0.01,-0.84,0.155,0,"[{""name"": ""Top"", ""bestBid"": 0.15, ""bestAsk"": 0.16}]",
1082748,will-bitcoin-reach-150k-in-january-2026,https://polymarket.com/event/will-bitcoin-reach-150k-in-january-2026,https://embed.polymarket.com/market.html?market=will-bitcoin-reach-150k-in-january-2026&features=volume&theme=light,"Will Bitcoin reach $150,000 in January?",,"24h $864,899 • spread 0.001 • TTR 6.4d",14664374.832127,864899.147535,5000,0,0.176808,50.0601,2026-02-01T05:00:00+00:00,6.431,1,0.001,-0.998,0.0015,0,"[{""name"": ""Top"", ""bestBid"": 0.001, ""bestAsk"": 0.002}]",
994900,israel-strikes-iran-by-january-31-2026-894-994-453,https://polymarket.com/event/israel-strikes-iran-by-january-31-2026-894-994-453,https://embed.polymarket.com/market.html?market=israel-strikes-iran-by-january-31-2026-894-994-453&features=volume&theme=light,"Israel strikes Iran by January 31, 2026?",,"24h $864,899 • spread 0.010 • TTR 5.2d",13852846.5455,864899.147535,5000,0,0.176808,50.0601,2026-01-31T00:00:00+00:00,5.222,1,0.01,-0.86,0.135,0,"[{""name"": ""Top"", ""bestBid"": 0.13, ""bestAsk"": 0.14}]",
566203,will-leeds-win-the-202526-english-premier-league,https://polymarket.com/event/will-leeds-win-the-202526-english-premier-league,https://embed.polymarket.com/market.html?market=will-leeds-win-the-202526-english-premier-league&features=volume&theme=light,Will Leeds win the 2025–26 English Premier League?,,"24h $864,899 • spread 0.001 • TTR 121.2d",33904829.934948,864899.147535,5000,0,0.176808,50.0601,2026-05-27T00:00:00+00:00,121.222,1,0.001,-0.998,0.0015,0,"[{""name"": ""Top"", ""bestBid"": 0.001, ""bestAsk"": 0.002}]",
540227,will-the-new-england-patriots-win-super-bowl-2026,https://polymarket.com/event/will-the-new-england-patriots-win-super-bowl-2026,https://embed.polymarket.com/market.html?market=will-the-new-england-patriots-win-super-bowl-2026&features=volume&theme=light,Will the New England Patriots win Super Bowl 2026?,,"24h $864,899 • spread 0.002 • TTR 13.7d",12403985.382782,864899.147535,5000,0,0.176808,50.0601,2026-02-08T12:00:00+00:00,13.722,1,0.002,-0.755,0.244,0,"[{""name"": ""Top"", ""bestBid"": 0.243, ""bestAsk"": 0.245}]",
1111834,will-the-iranian-regime-fall-by-january-31,https://polymarket.com/event/will-the-iranian-regime-fall-by-january-31,https://embed.polymarket.com/market.html?market=will-the-iranian-regime-fall-by-january-31&features=volume&theme=light,Will the Iranian regime fall by January 31?,,"24h $864,899 • spread 0.001 • TTR 5.2d",8842483.5435,864899.147535,5000,0,0.176808,50.0601,2026-01-31T00:00:00+00:00,5.222,1,0.001,-0.985,0.0145,0,"[{""name"": ""Top"", ""bestBid"": 0.014, ""bestAsk"": 0.015}]",
801289,will-meituan-have-the-best-ai-model-at-the-end-of-january-2026,https://polymarket.com/event/will-meituan-have-the-best-ai-model-at-the-end-of-january-2026,https://embed.polymarket.com/market.html?market=will-meituan-have-the-best-ai-model-at-the-end-of-january-2026&features=volume&theme=light,Will Meituan have the best AI model at the end of January 2026?,,"24h $864,899 • spread 0.998 • TTR 5.2d",7507608.300541,864899.147535,5000,0,0.176808,50.0601,2026-01-31T00:00:00+00:00,5.222,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998
1082781,will-bitcoin-reach-100k-in-january-2026,https://polymarket.com/event/will-bitcoin-reach-100k-in-january-2026,https://embed.polymarket.com/market.html?market=will-bitcoin-reach-100k-in-january-2026&features=volume&theme=light,"Will Bitcoin reach $100,000 in January?",,"24h $864,899 • spread 0.005 • TTR 6.4d",7615907.876302,864899.147535,5000,0,0.176808,50.0601,2026-02-01T05:00:00+00:00,6.431,1,0.005,-0.965,0.0325,0,"[{""name"": ""Top"", ""bestBid"": 0.03, ""bestAsk"": 0.035}]",
553874,will-the-memphis-grizzlies-win-the-2026-nba-finals,https://polymarket.com/event/will-the-memphis-grizzlies-win-the-2026-nba-finals,https://embed.polymarket.com/market.html?market=will-the-memphis-grizzlies-win-the-2026-nba-finals&features=volume&theme=light,Will the Memphis Grizzlies win the 2026 NBA Finals?,,"24h $864,899 • spread 0.001 • TTR 156.2d",28177766.276524,864899.147535,5000,0,0.176808,50.0601,2026-07-01T00:00:00+00:00,156.222,1,0.001,-0.996,0.0035,0,"[{""name"": ""Top"", ""bestBid"": 0.003, ""bestAsk"": 0.004}]",
680392,will-there-be-another-us-government-shutdown-by-january-31,https://polymarket.com/event/will-there-be-another-us-government-shutdown-by-january-31,https://embed.polymarket.com/market.html?market=will-there-be-another-us-government-shutdown-by-january-31&features=volume&theme=light,Will there be another US government shutdown by January 31?,,"24h $864,899 • spread 0.010 • TTR 5.2d",6141818.537429,864899.147535,5000,0,0.176808,50.0601,2026-01-31T00:00:00+00:00,5.222,1,0.01,-0.23,0.765,0,"[{""name"": ""Top"", ""bestBid"": 0.76, ""bestAsk"": 0.77}]",
540215,will-the-denver-broncos-win-super-bowl-2026,https://polymarket.com/event/will-the-denver-broncos-win-super-bowl-2026,https://embed.polymarket.com/market.html?market=will-the-denver-broncos-win-super-bowl-2026&features=volume&theme=light,Will the Denver Broncos win Super Bowl 2026?,,"24h $864,899 • spread 0.001 • TTR 13.7d",8507315.166862,864899.147535,5000,0,0.176808,50.0601,2026-02-08T12:00:00+00:00,13.722,1,0.001,-0.916,0.0835,0,"[{""name"": ""Top"", ""bestBid"": 0.083, ""bestAsk"": 0.084}]",
559687,will-oprah-winfrey-win-the-2028-democratic-presidential-nomination,https://polymarket.com/event/will-oprah-winfrey-win-the-2028-democratic-presidential-nomination,https://embed.polymarket.com/market.html?market=will-oprah-winfrey-win-the-2028-democratic-presidential-nomination&features=volume&theme=light,Will Oprah Winfrey win the 2028 Democratic presidential nomination?,,"24h $864,899 • spread 0.001 • TTR 1016.2d",30843433.32053,864899.147535,5000,0,0.176808,50.0601,2028-11-07T00:00:00+00:00,1016.222,1,0.001,-0.992,0.0075,0,"[{""name"": ""Top"", ""bestBid"": 0.007, ""bestAsk"": 0.008}]",
540234,will-the-seattle-seahawks-win-super-bowl-2026,https://polymarket.com/event/will-the-seattle-seahawks-win-super-bowl-2026,https://embed.polymarket.com/market.html?market=will-the-seattle-seahawks-win-super-bowl-2026&features=volume&theme=light,Will the Seattle Seahawks win Super Bowl 2026?,,"24h $864,899 • spread 0.002 • TTR 13.7d",8237071.818107,864899.147535,5000,0,0.176808,50.0601,2026-02-08T12:00:00+00:00,13.722,1,0.002,-0.619,0.38,0,"[{""name"": ""Top"", ""bestBid"": 0.379, ""bestAsk"": 0.381}]",
540224,will-the-los-angeles-rams-win-super-bowl-2026,https://polymarket.com/event/will-the-los-angeles-rams-win-super-bowl-2026,https://embed.polymarket.com/market.html?market=will-the-los-angeles-rams-win-super-bowl-2026&features=volume&theme=light,Will the Los Angeles Rams win Super Bowl 2026?,,"24h $864,899 • spread 0.002 • TTR 13.7d",7895714.597206,864899.147535,5000,0,0.176808,50.0601,2026-02-08T12:00:00+00:00,13.722,1,0.002,-0.704,0.295,0,"[{""name"": ""Top"", ""bestBid"": 0.294, ""bestAsk"": 0.296}]",
