id,slug,url,embedSrc,question,category,why,volume,volume24h,trades24h,uniqueTraders24h,momentumDelta24h,momentumPct24h,endDateISO,timeToResolveDays,outcomeCount,avgSpread,underround,binaryMidYes,near50Flag,bestQuotesJSON,avgSpreadProxy,bucket,rank
617266,will-mark-zuckerberg-be-richest-person-on-october-31,https://polymarket.com/event/will-mark-zuckerberg-be-richest-person-on-october-31,https://embed.polymarket.com/market.html?market=will-mark-zuckerberg-be-richest-person-on-october-31&features=volume&theme=light,Will Mark Zuckerberg be richest person on October 31?,,"24h $173,013 • spread 0.002 • TTR 10.5d",1274206.256331,173013.97996,500,0,0.09,25.0,2025-10-31T00:00:00+00:00,10.463,1,0.002,-0.997,0.002,0,"[{""name"": ""Top"", ""bestBid"": 0.001, ""bestAsk"": 0.003}]",,HOT,1
560552,will-russia-capture-kupiansk-by-october-31-984,https://polymarket.com/event/will-russia-capture-kupiansk-by-october-31-984,https://embed.polymarket.com/market.html?market=will-russia-capture-kupiansk-by-october-31-984&features=volume&theme=light,Will Russia capture Kupiansk by October 31?,,"24h $173,013 • spread 0.020 • TTR 11.4d • ~50% mid",1311968.984388,173013.97996,500,0,0.09,25.0,2025-10-31T22:00:00+00:00,11.38,1,0.02,-0.43,0.56,1,"[{""name"": ""Top"", ""bestBid"": 0.55, ""bestAsk"": 0.57}]",,HOT,2
517013,will-superman-be-the-top-grossing-movie-of-2025,https://polymarket.com/event/will-superman-be-the-top-grossing-movie-of-2025,https://embed.polymarket.com/market.html?market=will-superman-be-the-top-grossing-movie-of-2025&features=volume&theme=light,Will Superman be the top grossing movie of 2025?,,"24h $173,013 • spread 0.001 • TTR 72.0d",3113611.387719,173013.97996,500,0,0.09,25.0,2025-12-31T12:00:00+00:00,71.963,1,0.001,-0.996,0.0035,0,"[{""name"": ""Top"", ""bestBid"": 0.003, ""bestAsk"": 0.004}]",,HOT,3
566194,will-brighton-win-the-202526-english-premier-league,https://polymarket.com/event/will-brighton-win-the-202526-english-premier-league,https://embed.polymarket.com/market.html?market=will-brighton-win-the-202526-english-premier-league&features=volume&theme=light,Will Brighton win the 2025–26 English Premier League?,,"24h $173,013 • spread 0.001 • TTR 218.5d",4458404.034602,173013.97996,500,0,0.09,25.0,2026-05-27T00:00:00+00:00,218.463,1,0.001,-0.996,0.0035,0,"[{""name"": ""Top"", ""bestBid"": 0.003, ""bestAsk"": 0.004}]",,HOT,4
559670,will-gina-raimondo-win-the-2028-democratic-presidential-nomination-676,https://polymarket.com/event/will-gina-raimondo-win-the-2028-democratic-presidential-nomination-676,https://embed.polymarket.com/market.html?market=will-gina-raimondo-win-the-2028-democratic-presidential-nomination-676&features=volume&theme=light,Will Gina Raimondo win the 2028 Democratic presidential nomination?,,"24h $173,013 • spread 0.001 • TTR 1113.5d",5454222.697631,173013.97996,500,0,0.09,25.0,2028-11-07T00:00:00+00:00,1113.463,1,0.001,-0.991,0.0085,0,"[{""name"": ""Top"", ""bestBid"": 0.008, ""bestAsk"": 0.009}]",,HOT,5
516947,maduro-out-in-2025,https://polymarket.com/event/maduro-out-in-2025,https://embed.polymarket.com/market.html?market=maduro-out-in-2025&features=volume&theme=light,Maduro out in 2025?,,"24h $166,739 • spread 0.010 • TTR 72.0d",3198438.961642,166739.560914,500,0,0.54,150.0,2025-12-31T12:00:00+00:00,71.963,1,0.01,-0.8,0.195,0,"[{""name"": ""Top"", ""bestBid"": 0.19, ""bestAsk"": 0.2}]",,HOT,6
516874,will-ethereum-hit-10000-by-december-31-218-525,https://polymarket.com/event/will-ethereum-hit-10000-by-december-31-218-525,https://embed.polymarket.com/market.html?market=will-ethereum-hit-10000-by-december-31-218-525&features=volume&theme=light,"Will Ethereum hit $10,000 by December 31?",,"24h $166,739 • spread 0.002 • TTR 72.0d",3156103.973337,166739.560914,500,0,0.54,150.0,2025-12-31T12:00:00+00:00,71.963,1,0.002,-0.95,0.049,0,"[{""name"": ""Top"", ""bestBid"": 0.048, ""bestAsk"": 0.05}]",,HOT,7
561240,will-stephen-smith-win-the-2028-us-presidential-election,https://polymarket.com/event/will-stephen-smith-win-the-2028-us-presidential-election,https://embed.polymarket.com/market.html?market=will-stephen-smith-win-the-2028-us-presidential-election&features=volume&theme=light,Will Stephen Smith win the 2028 US Presidential Election?,,"24h $166,739 • spread 0.001 • TTR 1113.5d",5489926.254347,166739.560914,500,0,0.54,150.0,2028-11-07T00:00:00+00:00,1113.463,1,0.001,-0.987,0.0125,0,"[{""name"": ""Top"", ""bestBid"": 0.012, ""bestAsk"": 0.013}]",,HOT,8
635611,elon-musk-of-tweets-october-17-october-24-120-139,https://polymarket.com/event/elon-musk-of-tweets-october-17-october-24-120-139,https://embed.polymarket.com/market.html?market=elon-musk-of-tweets-october-17-october-24-120-139&features=volume&theme=light,"Will Elon Musk post 120-139 tweets from October 17 to October 24, 2025?",,"24h $163,415 • spread 0.998 • TTR 4.1d",1122328.085193,163415.024225,500,0,0.259,35.0,2025-10-24T16:00:00+00:00,4.13,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998,HOT,9
521916,will-up-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://polymarket.com/event/will-up-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://embed.polymarket.com/market.html?market=will-up-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election&features=volume&theme=light,Will UP hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,,"24h $163,415 • spread 0.001 • TTR 6.0d",1167214.40666,163415.024225,500,0,0.259,35.0,2025-10-26T12:00:00+00:00,5.963,1,0.001,-0.102,0.8975,0,"[{""name"": ""Top"", ""bestBid"": 0.897, ""bestAsk"": 0.898}]",,HOT,10
521921,will-ser-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://polymarket.com/event/will-ser-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://embed.polymarket.com/market.html?market=will-ser-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election&features=volume&theme=light,Will SER hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,,"24h $163,415 • spread 0.998 • TTR 6.0d",1138785.243128,163415.024225,500,0,0.259,35.0,2025-10-26T12:00:00+00:00,5.963,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998,HOT,11
618965,will-bitcoin-dip-to-100k-in-october,https://polymarket.com/event/will-bitcoin-dip-to-100k-in-october,https://embed.polymarket.com/market.html?market=will-bitcoin-dip-to-100k-in-october&features=volume&theme=light,Will Bitcoin dip to $100k in October?,,"24h $163,415 • spread 0.006 • TTR 11.6d",1572901.888857,163415.024225,500,0,0.259,35.0,2025-11-01T04:00:00+00:00,11.63,1,0.006,-0.852,0.145,0,"[{""name"": ""Top"", ""bestBid"": 0.142, ""bestAsk"": 0.148}]",,HOT,12
639616,mlb-sea-tor-2025-10-20,https://polymarket.com/event/mlb-sea-tor-2025-10-20,https://embed.polymarket.com/market.html?market=mlb-sea-tor-2025-10-20&features=volume&theme=light,Mariners vs. Blue Jays,,"24h $109,420 • spread 0.010 • TTR 7.5d • ~50% mid",1591907.645357,109420.955201,500,0,-0.120978,-13.2986,2025-10-28T00:08:00+00:00,7.469,1,0.01,-0.54,0.455,1,"[{""name"": ""Top"", ""bestBid"": 0.45, ""bestAsk"": 0.46}]",,OVERLOOKED,1
516865,will-bitcoin-reach-130000-by-december-31-2025-911-832,https://polymarket.com/event/will-bitcoin-reach-130000-by-december-31-2025-911-832,https://embed.polymarket.com/market.html?market=will-bitcoin-reach-130000-by-december-31-2025-911-832&features=volume&theme=light,"Will Bitcoin reach $130,000 by December 31, 2025?",,"24h $162,436 • spread 0.020 • TTR 72.0d • ~50% mid",3885868.173663,162436.726248,500,0,-0.274155,-27.7204,2025-12-31T12:00:00+00:00,71.963,1,0.02,-0.5,0.49,1,"[{""name"": ""Top"", ""bestBid"": 0.48, ""bestAsk"": 0.5}]",,OVERLOOKED,2
516878,will-ethereum-hit-5000-by-december-31-796-376,https://polymarket.com/event/will-ethereum-hit-5000-by-december-31-796-376,https://embed.polymarket.com/market.html?market=will-ethereum-hit-5000-by-december-31-796-376&features=volume&theme=light,"Will Ethereum hit $5,000 by December 31?",,"24h $81,931 • spread 0.019 • TTR 72.0d • ~50% mid",5503035.930199,81931.512681,500,0,-0.416,-43.0642,2025-12-31T12:00:00+00:00,71.963,1,0.019,-0.475,0.5155,1,"[{""name"": ""Top"", ""bestBid"": 0.506, ""bestAsk"": 0.525}]",,OVERLOOKED,3
521920,will-fit-u-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://polymarket.com/event/will-fit-u-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://embed.polymarket.com/market.html?market=will-fit-u-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election&features=volume&theme=light,Will FIT-U hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,,"24h $65,445 • spread 0.997 • TTR 6.0d",2811775.412075,65445.379786,500,0,-0.58,-68.2353,2025-10-26T12:00:00+00:00,5.963,1,0.997,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.997,OVERLOOKED,4
521917,will-pro-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://polymarket.com/event/will-pro-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://embed.polymarket.com/market.html?market=will-pro-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election&features=volume&theme=light,Will PRO hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,,"24h $84,242 • spread 0.997 • TTR 6.0d",1808225.003705,84242.148847,500,0,-0.338,-34.2105,2025-10-26T12:00:00+00:00,5.963,1,0.997,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.997,OVERLOOKED,5
521919,will-hnp-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://polymarket.com/event/will-hnp-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://embed.polymarket.com/market.html?market=will-hnp-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election&features=volume&theme=light,Will HNP hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,,"24h $93,041 • spread 0.998 • TTR 6.0d",1712660.267361,93041.446335,500,0,-0.608,-61.5385,2025-10-26T12:00:00+00:00,5.963,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998,OVERLOOKED,6
521918,will-ucr-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://polymarket.com/event/will-ucr-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,https://embed.polymarket.com/market.html?market=will-ucr-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election&features=volume&theme=light,Will UCR hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,,"24h $101,611 • spread 0.998 • TTR 6.0d",1589997.440424,101611.631834,500,0,-0.267,-95.3571,2025-10-26T12:00:00+00:00,5.963,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998,OVERLOOKED,7
538937,will-adrienne-adams-win-the-2025-nyc-mayoral-election,https://polymarket.com/event/will-adrienne-adams-win-the-2025-nyc-mayoral-election,https://embed.polymarket.com/market.html?market=will-adrienne-adams-win-the-2025-nyc-mayoral-election&features=volume&theme=light,Will Adrienne Adams win the 2025 NYC mayoral election?,,"24h $69,089 • spread 0.997 • TTR 15.0d",15937230.993185,69089.78175,500,0,0.364,57.7778,2025-11-04T12:00:00+00:00,14.963,1,0.997,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.997,OVERLOOKED,8
538931,will-jim-walden-win-the-2025-nyc-mayoral-election,https://polymarket.com/event/will-jim-walden-win-the-2025-nyc-mayoral-election,https://embed.polymarket.com/market.html?market=will-jim-walden-win-the-2025-nyc-mayoral-election&features=volume&theme=light,Will Jim Walden win the 2025 NYC mayoral election?,,"24h $69,639 • spread 0.997 • TTR 15.0d",10440044.214009,69639.554731,500,0,-0.186017,-88.5793,2025-11-04T12:00:00+00:00,14.963,1,0.997,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.997,OVERLOOKED,9
538936,will-andrew-yang-win-the-2025-nyc-mayoral-election,https://polymarket.com/event/will-andrew-yang-win-the-2025-nyc-mayoral-election,https://embed.polymarket.com/market.html?market=will-andrew-yang-win-the-2025-nyc-mayoral-election&features=volume&theme=light,Will Andrew Yang win the 2025 NYC mayoral election?,,"24h $71,174 • spread 0.997 • TTR 15.0d",7939741.71698,71174.905426,500,0,0.18,30.5085,2025-11-04T12:00:00+00:00,14.963,1,0.997,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.997,OVERLOOKED,10
538934,will-scott-stringer-win-the-2025-nyc-mayoral-election,https://polymarket.com/event/will-scott-stringer-win-the-2025-nyc-mayoral-election,https://embed.polymarket.com/market.html?market=will-scott-stringer-win-the-2025-nyc-mayoral-election&features=volume&theme=light,Will Scott Stringer win the 2025 NYC mayoral election?,,"24h $75,665 • spread 0.997 • TTR 15.0d",4488402.7549,75665.34158,500,0,0.478,23899.9997,2025-11-04T12:00:00+00:00,14.963,1,0.997,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.997,OVERLOOKED,11
