id,conditionId,slug,url,embedSrc,question,category,eventId,why,volume,volume24h,momentumDelta24h,momentumPct24h,endDateISO,timeToResolveDays,outcomeCount,avgSpread,underround,binaryMidYes,near50Flag,bestQuotesJSON,bucket,rank
601832,0xafd3f96b7b6084509e625270538ff0699003fafc042263c1216e7f084cef753a,will-aldo-rebelo-win-the-2026-brazilian-presidential-election,https://polymarket.com/event/will-aldo-rebelo-win-the-2026-brazilian-presidential-election,https://embed.polymarket.com/market.html?market=will-aldo-rebelo-win-the-2026-brazilian-presidential-election&features=volume&theme=light,Will Aldo Rebelo win the 2026 Brazilian presidential election?,politics,,TTR 11.8d,4966807.674043,,0.0,0.0,2026-10-04T23:59:00+00:00,11.826,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,1
2589812,0xdf9bf27ee5757c55b44b8b9826ddc9ec3a8809aa3278634c45edbb7fc8f1a3e3,will-there-be-no-change-in-fed-interest-rates-after-the-october-2026-meeting-20260617190324031,https://polymarket.com/event/will-there-be-no-change-in-fed-interest-rates-after-the-october-2026-meeting-20260617190324031,https://embed.polymarket.com/market.html?market=will-there-be-no-change-in-fed-interest-rates-after-the-october-2026-meeting-20260617190324031&features=volume&theme=light,Will there be no change in Fed interest rates after the October 2026 meeting?,fed,,"24h $416,106 • spread 0.010 • TTR 36.0d • ~50% mid",2822195.3913629977,416106.68,-0.01,-2.1505,2026-10-29T03:59:00+00:00,35.992,1,0.01,-0.54,0.455,1,"[{""name"": ""Top"", ""bestBid"": 0.45, ""bestAsk"": 0.46}]",HOT,2
2589813,0x12aa13b3da17ceae1b0a59b5d5b77121e91bb79b4bb0b52bf6543ed3f8d0953b,will-the-fed-increase-interest-rates-by-25-bps-after-the-october-2026-meeting-20260617190324032,https://polymarket.com/event/will-the-fed-increase-interest-rates-by-25-bps-after-the-october-2026-meeting-20260617190324032,https://embed.polymarket.com/market.html?market=will-the-fed-increase-interest-rates-by-25-bps-after-the-october-2026-meeting-20260617190324032&features=volume&theme=light,Will the Fed increase interest rates by 25 bps after the October 2026 meeting?,fed,,"24h $321,015 • spread 0.010 • TTR 36.0d • ~50% mid",2604473.1904489985,321015.13,0.01,1.9048,2026-10-29T03:59:00+00:00,35.992,1,0.01,-0.46,0.535,1,"[{""name"": ""Top"", ""bestBid"": 0.53, ""bestAsk"": 0.54}]",HOT,3
601819,0xdf8e2dc5860027decbe6164555c3c1c9645c3bd33e16b9dc57ca87125047d4a8,will-luiz-incio-lula-da-silva-win-the-2026-brazilian-presidential-election,https://polymarket.com/event/will-luiz-incio-lula-da-silva-win-the-2026-brazilian-presidential-election,https://embed.polymarket.com/market.html?market=will-luiz-incio-lula-da-silva-win-the-2026-brazilian-presidential-election&features=volume&theme=light,Will Luiz Inácio Lula da Silva win the 2026 Brazilian presidential election?,politics,,"24h $141,527 • spread 0.010 • TTR 10.8d • ~50% mid",11904115.831989994,141527.8,0.02,5.1948,2026-10-04T00:00:00+00:00,10.826,1,0.01,-0.59,0.405,1,"[{""name"": ""Top"", ""bestBid"": 0.4, ""bestAsk"": 0.41}]",HOT,4
898425,0xcf72b0f49af9446288a897ac1d73afa72549d98de7860bb17dacc3c4379a2c58,will-liam-lawson-be-the-2026-f1-drivers-champion,https://polymarket.com/event/will-liam-lawson-be-the-2026-f1-drivers-champion,https://embed.polymarket.com/market.html?market=will-liam-lawson-be-the-2026-f1-drivers-champion&features=volume&theme=light,Will Liam Lawson be the 2026 F1 Drivers' Champion?,sports,,TTR 73.8d,10726111.476794006,,0.0,0.0,2026-12-06T00:00:00+00:00,73.826,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,5
601834,0x919c9bc428d2d19400437852066582b11bb7b00ad78529a0069cde76766b9faf,will-helder-barbalho-win-the-2026-brazilian-presidential-election,https://polymarket.com/event/will-helder-barbalho-win-the-2026-brazilian-presidential-election,https://embed.polymarket.com/market.html?market=will-helder-barbalho-win-the-2026-brazilian-presidential-election&features=volume&theme=light,Will Helder Barbalho win the 2026 Brazilian presidential election?,politics,,TTR 11.8d,2422918.4968820014,,0.0,0.0,2026-10-04T23:59:00+00:00,11.826,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,6
898414,0x80971af8befc488bbdd6dcc075d388793851a0ea1c46f7ffd353b190691c7199,will-isack-hadjar-be-the-2026-f1-drivers-champion,https://polymarket.com/event/will-isack-hadjar-be-the-2026-f1-drivers-champion,https://embed.polymarket.com/market.html?market=will-isack-hadjar-be-the-2026-f1-drivers-champion&features=volume&theme=light,Will Isack Hadjar be the 2026 F1 Drivers' Champion?,sports,,TTR 73.8d,9378008.013226006,,0.0,0.0,2026-12-06T00:00:00+00:00,73.826,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,7
2036575,0x9b256472ce9d2074f3e317beccbe8d9c914bd9c83cbe1c4fa9d6f928a475f7b3,will-mike-trout-hit-the-most-home-runs-during-the-2026-mlb-regular-season,https://polymarket.com/event/will-mike-trout-hit-the-most-home-runs-during-the-2026-mlb-regular-season,https://embed.polymarket.com/market.html?market=will-mike-trout-hit-the-most-home-runs-during-the-2026-mlb-regular-season&features=volume&theme=light,Will Mike Trout hit the most home runs during the 2026 MLB regular season?,mlb,,TTR 23.0d,1749623.779,,0.0,0.0,2026-10-16T03:59:00+00:00,22.992,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,8
682714,0xfb2cb634e693b1758fc78b38b02754472edd728bd22eb4a7023c6f49419c73d6,will-gideon-saar-be-the-next-prime-minister-of-israel,https://polymarket.com/event/will-gideon-saar-be-the-next-prime-minister-of-israel,https://embed.polymarket.com/market.html?market=will-gideon-saar-be-the-next-prime-minister-of-israel&features=volume&theme=light,Will Gideon Sa’ar be the next Prime Minister of Israel?,main-election,,TTR 34.8d,2296594.5859069997,,0.0,0.0,2026-10-27T23:59:00+00:00,34.826,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,9
682709,0xf773a12cc13214fc493ec398f96c4ea5ec87ea4ff3b29795041d5498e314ad1e,will-benny-gantz-be-the-next-prime-minister-of-israel,https://polymarket.com/event/will-benny-gantz-be-the-next-prime-minister-of-israel,https://embed.polymarket.com/market.html?market=will-benny-gantz-be-the-next-prime-minister-of-israel&features=volume&theme=light,Will Benny Gantz be the next Prime Minister of Israel?,main-election,,TTR 34.8d,2247015.098473001,,0.0,0.0,2026-10-27T23:59:00+00:00,34.826,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,10
1105754,0x831493dce463d9adcad78c492f2cbec6ecdac31f4e8c5a894fdac68c130549d4,will-richard-grenell-be-the-leader-of-venezuela-end-of-2026,https://polymarket.com/event/will-richard-grenell-be-the-leader-of-venezuela-end-of-2026,https://embed.polymarket.com/market.html?market=will-richard-grenell-be-the-leader-of-venezuela-end-of-2026&features=volume&theme=light,Will Richard Grenell be the leader of Venezuela end of 2026?,trump-machado,,TTR 98.8d,32790733.048844993,,0.0,0.0,2026-12-31T00:00:00+00:00,98.826,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,11
2034729,0xace3c72c24fccb6731433483ece41c780432d84850edccd5a6bf3147ccea62a9,will-the-us-confirm-that-aliens-exist-by-september-30-396,https://polymarket.com/event/will-the-us-confirm-that-aliens-exist-by-september-30-396,https://embed.polymarket.com/market.html?market=will-the-us-confirm-that-aliens-exist-by-september-30-396&features=volume&theme=light,Will the US confirm that aliens exist by September 30?,aliens,,"24h $509,561 • TTR 100.0d",6814308.051385999,509561.1,-0.0065,-92.8571,2027-01-01T04:59:00+00:00,100.034,1,,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",HOT,12
601826,0x1a01bf78f56a507fcb666d564d8c8b91b0750679163ed6e96746102c9b7d285d,will-flvio-bolsonaro-win-the-2026-brazilian-presidential-election,https://polymarket.com/event/will-flvio-bolsonaro-win-the-2026-brazilian-presidential-election,https://embed.polymarket.com/market.html?market=will-flvio-bolsonaro-win-the-2026-brazilian-presidential-election&features=volume&theme=light,Will Flávio Bolsonaro win the 2026 Brazilian presidential election?,politics,,"24h $124,142 • spread 0.001 • TTR 10.8d • ~50% mid",11547867.052047003,124142.66,-0.019,-3.1224,2026-10-04T00:00:00+00:00,10.826,1,0.001,-0.41,0.5895,1,"[{""name"": ""Top"", ""bestBid"": 0.589, ""bestAsk"": 0.59}]",OVERLOOKED,1
