id,slug,url,embedSrc,question,category,why,volume,volume24h,trades24h,uniqueTraders24h,momentumDelta24h,momentumPct24h,endDateISO,timeToResolveDays,outcomeCount,avgSpread,underround,binaryMidYes,near50Flag,bestQuotesJSON,avgSpreadProxy
601697,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,https://polymarket.com/event/fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,https://embed.polymarket.com/market.html?market=fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting&features=volume&theme=light,Fed decreases interest rates by 50+ bps after January 2026 meeting?,,"24h $924,676 • spread 0.998 • TTR 0.9d",208776997.462415,924676.3178,5000,0,0.13,22.0339,2026-01-28T00:00:00+00:00,0.901,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998
601700,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,https://polymarket.com/event/fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,https://embed.polymarket.com/market.html?market=fed-increases-interest-rates-by-25-bps-after-january-2026-meeting&features=volume&theme=light,Fed increases interest rates by 25+ bps after January 2026 meeting?,,"24h $924,676 • spread 0.001 • TTR 0.9d",184738531.459377,924676.3178,5000,0,0.13,22.0339,2026-01-28T00:00:00+00:00,0.901,1,0.001,-0.998,0.0015,0,"[{""name"": ""Top"", ""bestBid"": 0.001, ""bestAsk"": 0.002}]",
601698,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,https://polymarket.com/event/fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,https://embed.polymarket.com/market.html?market=fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting&features=volume&theme=light,Fed decreases interest rates by 25 bps after January 2026 meeting?,,"24h $924,676 • spread 0.001 • TTR 0.9d",72209235.832067,924676.3178,5000,0,0.13,22.0339,2026-01-28T00:00:00+00:00,0.901,1,0.001,-0.992,0.0075,0,"[{""name"": ""Top"", ""bestBid"": 0.007, ""bestAsk"": 0.008}]",
601699,no-change-in-fed-interest-rates-after-january-2026-meeting,https://polymarket.com/event/no-change-in-fed-interest-rates-after-january-2026-meeting,https://embed.polymarket.com/market.html?market=no-change-in-fed-interest-rates-after-january-2026-meeting&features=volume&theme=light,No change in Fed interest rates after January 2026 meeting?,,"24h $924,676 • spread 0.001 • TTR 0.9d",71274609.644074,924676.3178,5000,0,0.13,22.0339,2026-01-28T00:00:00+00:00,0.901,1,0.001,-0.009,0.9905,0,"[{""name"": ""Top"", ""bestBid"": 0.99, ""bestAsk"": 0.991}]",
1106713,khamenei-out-as-supreme-leader-of-iran-by-january-31,https://polymarket.com/event/khamenei-out-as-supreme-leader-of-iran-by-january-31,https://embed.polymarket.com/market.html?market=khamenei-out-as-supreme-leader-of-iran-by-january-31&features=volume&theme=light,Khamenei out as Supreme Leader of Iran by January 31?,,"24h $924,676 • spread 0.002 • TTR 3.9d",43997647.195536,924676.3178,5000,0,0.13,22.0339,2026-01-31T00:00:00+00:00,3.901,1,0.002,-0.983,0.016,0,"[{""name"": ""Top"", ""bestBid"": 0.015, ""bestAsk"": 0.017}]",
1092199,us-strikes-iran-by-january-31-2026-165,https://polymarket.com/event/us-strikes-iran-by-january-31-2026-165,https://embed.polymarket.com/market.html?market=us-strikes-iran-by-january-31-2026-165&features=volume&theme=light,"US strikes Iran by January 31, 2026?",,"24h $984,111 • spread 0.010 • TTR 3.9d",24109733.237878,984111.214135,5000,0,-0.3,-42.2535,2026-01-31T00:00:00+00:00,3.901,1,0.01,-0.88,0.115,0,"[{""name"": ""Top"", ""bestBid"": 0.11, ""bestAsk"": 0.12}]",
704339,russia-x-ukraine-ceasefire-by-january-31-2026,https://polymarket.com/event/russia-x-ukraine-ceasefire-by-january-31-2026,https://embed.polymarket.com/market.html?market=russia-x-ukraine-ceasefire-by-january-31-2026&features=volume&theme=light,"Russia x Ukraine ceasefire by January 31, 2026?",,"24h $924,676 • spread 0.001 • TTR 3.9d",22408517.282531,924676.3178,5000,0,0.13,22.0339,2026-01-31T00:00:00+00:00,3.901,1,0.001,-0.996,0.0035,0,"[{""name"": ""Top"", ""bestBid"": 0.003, ""bestAsk"": 0.004}]",
1082748,will-bitcoin-reach-150k-in-january-2026,https://polymarket.com/event/will-bitcoin-reach-150k-in-january-2026,https://embed.polymarket.com/market.html?market=will-bitcoin-reach-150k-in-january-2026&features=volume&theme=light,"Will Bitcoin reach $150,000 in January?",,"24h $924,676 • spread 0.001 • TTR 5.1d",19908406.203095,924676.3178,5000,0,0.13,22.0339,2026-02-01T05:00:00+00:00,5.109,1,0.001,-0.997,0.0025,0,"[{""name"": ""Top"", ""bestBid"": 0.002, ""bestAsk"": 0.003}]",
994900,israel-strikes-iran-by-january-31-2026-894-994-453,https://polymarket.com/event/israel-strikes-iran-by-january-31-2026-894-994-453,https://embed.polymarket.com/market.html?market=israel-strikes-iran-by-january-31-2026-894-994-453&features=volume&theme=light,"Israel strikes Iran by January 31, 2026?",,"24h $984,111 • spread 0.020 • TTR 3.9d",14410592.632322,984111.214135,5000,0,-0.3,-42.2535,2026-01-31T00:00:00+00:00,3.901,1,0.02,-0.88,0.11,0,"[{""name"": ""Top"", ""bestBid"": 0.1, ""bestAsk"": 0.12}]",
680392,will-there-be-another-us-government-shutdown-by-january-31,https://polymarket.com/event/will-there-be-another-us-government-shutdown-by-january-31,https://embed.polymarket.com/market.html?market=will-there-be-another-us-government-shutdown-by-january-31&features=volume&theme=light,US government shutdown Saturday?,,"24h $924,676 • spread 0.010 • TTR 3.9d",9989380.510274,924676.3178,5000,0,0.13,22.0339,2026-01-31T00:00:00+00:00,3.901,1,0.01,-0.22,0.775,0,"[{""name"": ""Top"", ""bestBid"": 0.77, ""bestAsk"": 0.78}]",
