id,slug,url,embedSrc,question,category,why,volume,volume24h,trades24h,uniqueTraders24h,momentumDelta24h,momentumPct24h,endDateISO,timeToResolveDays,outcomeCount,avgSpread,underround,binaryMidYes,near50Flag,bestQuotesJSON,avgSpreadProxy,bucket,rank
525335,f1-season-canceled-or-other-team-wins,https://polymarket.com/event/f1-season-canceled-or-other-team-wins,https://embed.polymarket.com/market.html?market=f1-season-canceled-or-other-team-wins&features=volume&theme=light,F1 season canceled or other team wins?,,"24h $340,145 • spread 0.998 • TTR 88.6d",1450310.418174,340145.552715,500,0,0.19,41.3043,2025-12-07T12:00:00+00:00,88.592,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998,HOT,1
516729,will-8plus-fed-rate-cuts-happen-in-2025,https://polymarket.com/event/will-8plus-fed-rate-cuts-happen-in-2025,https://embed.polymarket.com/market.html?market=will-8plus-fed-rate-cuts-happen-in-2025&features=volume&theme=light,Will 8+ Fed rate cuts happen in 2025?,,"24h $340,145 • spread 0.002 • TTR 91.6d",1484372.148071,340145.552715,500,0,0.19,41.3043,2025-12-10T12:00:00+00:00,91.592,1,0.002,-0.99,0.009,0,"[{""name"": ""Top"", ""bestBid"": 0.008, ""bestAsk"": 0.01}]",,HOT,2
566331,will-polymarket-us-go-live-in-2025,https://polymarket.com/event/will-polymarket-us-go-live-in-2025,https://embed.polymarket.com/market.html?market=will-polymarket-us-go-live-in-2025&features=volume&theme=light,Will Polymarket US go live in 2025?,,"24h $340,145 • spread 0.004 • TTR 112.1d",1566535.755574,340145.552715,500,0,0.19,41.3043,2025-12-31T00:00:00+00:00,112.092,1,0.004,-0.032,0.966,0,"[{""name"": ""Top"", ""bestBid"": 0.964, ""bestAsk"": 0.968}]",,HOT,3
516872,will-bitcoin-dip-to-50000-by-december-31-2025-391-715-682,https://polymarket.com/event/will-bitcoin-dip-to-50000-by-december-31-2025-391-715-682,https://embed.polymarket.com/market.html?market=will-bitcoin-dip-to-50000-by-december-31-2025-391-715-682&features=volume&theme=light,"Will Bitcoin dip to $50,000 by December 31, 2025?",,"24h $340,145 • spread 0.015 • TTR 112.6d",1604565.143747,340145.552715,500,0,0.19,41.3043,2025-12-31T12:00:00+00:00,112.592,1,0.015,-0.952,0.0405,0,"[{""name"": ""Top"", ""bestBid"": 0.033, ""bestAsk"": 0.048}]",,HOT,4
516875,will-ethereum-hit-8000-by-december-31-124-489,https://polymarket.com/event/will-ethereum-hit-8000-by-december-31-124-489,https://embed.polymarket.com/market.html?market=will-ethereum-hit-8000-by-december-31-124-489&features=volume&theme=light,"Will Ethereum hit $8,000 by December 31?",,"24h $340,145 • spread 0.010 • TTR 112.6d",1581820.289287,340145.552715,500,0,0.19,41.3043,2025-12-31T12:00:00+00:00,112.592,1,0.01,-0.85,0.145,0,"[{""name"": ""Top"", ""bestBid"": 0.14, ""bestAsk"": 0.15}]",,HOT,5
530743,will-psaha-win-the-most-seats-in-the-next-czech-parliamentary-election,https://polymarket.com/event/will-psaha-win-the-most-seats-in-the-next-czech-parliamentary-election,https://embed.polymarket.com/market.html?market=will-psaha-win-the-most-seats-in-the-next-czech-parliamentary-election&features=volume&theme=light,Will Přísaha win the most seats in the next Czech parliamentary election?,,"24h $339,174 • spread 0.001 • TTR 20.6d",761174.575992,339174.096047,500,0,-0.113283,-18.6369,2025-09-30T12:00:00+00:00,20.592,1,0.001,-0.998,0.0015,0,"[{""name"": ""Top"", ""bestBid"": 0.001, ""bestAsk"": 0.002}]",,HOT,6
527052,will-robert-lewandowski-win-the-2025-ballon-dor,https://polymarket.com/event/will-robert-lewandowski-win-the-2025-ballon-dor,https://embed.polymarket.com/market.html?market=will-robert-lewandowski-win-the-2025-ballon-dor&features=volume&theme=light,Will Robert Lewandowski win the 2025 Ballon d'Or?,,"24h $339,174 • spread 0.001 • TTR 46.6d",1117817.198076,339174.096047,500,0,-0.113283,-18.6369,2025-10-26T12:00:00+00:00,46.592,1,0.001,-0.998,0.0015,0,"[{""name"": ""Top"", ""bestBid"": 0.001, ""bestAsk"": 0.002}]",,HOT,7
538937,will-adrienne-adams-win-the-2025-nyc-mayoral-election,https://polymarket.com/event/will-adrienne-adams-win-the-2025-nyc-mayoral-election,https://embed.polymarket.com/market.html?market=will-adrienne-adams-win-the-2025-nyc-mayoral-election&features=volume&theme=light,Will Adrienne Adams win the 2025 NYC mayoral election?,,"24h $339,174 • spread 0.998 • TTR 55.6d",1235627.735185,339174.096047,500,0,-0.113283,-18.6369,2025-11-04T12:00:00+00:00,55.592,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998,HOT,8
590460,mlb-nym-phi-2025-09-09,https://polymarket.com/event/mlb-nym-phi-2025-09-09,https://embed.polymarket.com/market.html?market=mlb-nym-phi-2025-09-09&features=volume&theme=light,Mets vs. Phillies,,"24h $327,069 • spread 0.010 • TTR 7.0d • ~50% mid",569456.718579,327069.529012,500,0,-0.156,-97.5,2025-09-16T22:45:00+00:00,7.04,1,0.01,-0.54,0.455,1,"[{""name"": ""Top"", ""bestBid"": 0.45, ""bestAsk"": 0.46}]",,HOT,9
530742,will-pirates-win-the-most-seats-in-the-next-czech-parliamentary-election,https://polymarket.com/event/will-pirates-win-the-most-seats-in-the-next-czech-parliamentary-election,https://embed.polymarket.com/market.html?market=will-pirates-win-the-most-seats-in-the-next-czech-parliamentary-election&features=volume&theme=light,Will Pirates win the most seats in the next Czech parliamentary election?,,"24h $327,069 • spread 0.001 • TTR 20.6d",849856.735193,327069.529012,500,0,-0.156,-97.5,2025-09-30T12:00:00+00:00,20.592,1,0.001,-0.997,0.0025,0,"[{""name"": ""Top"", ""bestBid"": 0.002, ""bestAsk"": 0.003}]",,HOT,10
