id,slug,url,embedSrc,question,category,why,volume,volume24h,trades24h,uniqueTraders24h,momentumDelta24h,momentumPct24h,endDateISO,timeToResolveDays,outcomeCount,avgSpread,underround,binaryMidYes,near50Flag,bestQuotesJSON,avgSpreadProxy
1082748,will-bitcoin-reach-150k-in-january-2026,https://polymarket.com/event/will-bitcoin-reach-150k-in-january-2026,https://embed.polymarket.com/market.html?market=will-bitcoin-reach-150k-in-january-2026&features=volume&theme=light,"Will Bitcoin reach $150,000 in January?",,"24h $886,721 • spread 0.998 • TTR 1.1d",26412908.298647,886721.02539,5000,0,-0.75,-80.6452,2026-02-01T05:00:00+00:00,1.104,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998
1082749,will-ethereum-reach-6000-in-january-2026,https://polymarket.com/event/will-ethereum-reach-6000-in-january-2026,https://embed.polymarket.com/market.html?market=will-ethereum-reach-6000-in-january-2026&features=volume&theme=light,"Will Ethereum reach $6,000 in January?",,"24h $886,721 • spread 0.998 • TTR 1.1d",13163347.584141,886721.02539,5000,0,-0.75,-80.6452,2026-02-01T05:00:00+00:00,1.104,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998
1082781,will-bitcoin-reach-100k-in-january-2026,https://polymarket.com/event/will-bitcoin-reach-100k-in-january-2026,https://embed.polymarket.com/market.html?market=will-bitcoin-reach-100k-in-january-2026&features=volume&theme=light,"Will Bitcoin reach $100,000 in January?",,"24h $886,721 • spread 0.001 • TTR 1.1d",12227372.462636,886721.02539,5000,0,-0.75,-80.6452,2026-02-01T05:00:00+00:00,1.104,1,0.001,-0.998,0.0015,0,"[{""name"": ""Top"", ""bestBid"": 0.001, ""bestAsk"": 0.002}]",
1106713,khamenei-out-as-supreme-leader-of-iran-by-january-31,https://polymarket.com/event/khamenei-out-as-supreme-leader-of-iran-by-january-31,https://embed.polymarket.com/market.html?market=khamenei-out-as-supreme-leader-of-iran-by-january-31&features=volume&theme=light,Khamenei out as Supreme Leader of Iran by January 31?,,"24h $886,721 • spread 0.001 • TTR -0.1d",47509272.02168,886721.02539,5000,0,-0.75,-80.6452,2026-01-31T00:00:00+00:00,-0.104,1,0.001,-0.99,0.0095,0,"[{""name"": ""Top"", ""bestBid"": 0.009, ""bestAsk"": 0.01}]",
540227,will-the-new-england-patriots-win-super-bowl-2026,https://polymarket.com/event/will-the-new-england-patriots-win-super-bowl-2026,https://embed.polymarket.com/market.html?market=will-the-new-england-patriots-win-super-bowl-2026&features=volume&theme=light,Will the New England Patriots win Super Bowl 2026?,,"24h $886,721 • spread 0.001 • TTR 8.4d",14211795.346881,886721.02539,5000,0,-0.75,-80.6452,2026-02-08T12:00:00+00:00,8.396,1,0.001,-0.685,0.3145,0,"[{""name"": ""Top"", ""bestBid"": 0.314, ""bestAsk"": 0.315}]",
680392,will-there-be-another-us-government-shutdown-by-january-31,https://polymarket.com/event/will-there-be-another-us-government-shutdown-by-january-31,https://embed.polymarket.com/market.html?market=will-there-be-another-us-government-shutdown-by-january-31&features=volume&theme=light,US government shutdown Saturday?,,"24h $886,721 • spread 0.001 • TTR -0.1d",39759610.826794,886721.02539,5000,0,-0.75,-80.6452,2026-01-31T00:00:00+00:00,-0.104,1,0.001,-0.047,0.9525,0,"[{""name"": ""Top"", ""bestBid"": 0.952, ""bestAsk"": 0.953}]",
566203,will-leeds-win-the-202526-english-premier-league,https://polymarket.com/event/will-leeds-win-the-202526-english-premier-league,https://embed.polymarket.com/market.html?market=will-leeds-win-the-202526-english-premier-league&features=volume&theme=light,Will Leeds win the 2025–26 English Premier League?,,"24h $886,721 • spread 0.001 • TTR 115.9d",34908336.513948,886721.02539,5000,0,-0.75,-80.6452,2026-05-27T00:00:00+00:00,115.896,1,0.001,-0.998,0.0015,0,"[{""name"": ""Top"", ""bestBid"": 0.001, ""bestAsk"": 0.002}]",
540234,will-the-seattle-seahawks-win-super-bowl-2026,https://polymarket.com/event/will-the-seattle-seahawks-win-super-bowl-2026,https://embed.polymarket.com/market.html?market=will-the-seattle-seahawks-win-super-bowl-2026&features=volume&theme=light,Will the Seattle Seahawks win Super Bowl 2026?,,"24h $886,721 • spread 0.001 • TTR 8.4d",10799930.028445,886721.02539,5000,0,-0.75,-80.6452,2026-02-08T12:00:00+00:00,8.396,1,0.001,-0.314,0.6855,0,"[{""name"": ""Top"", ""bestBid"": 0.685, ""bestAsk"": 0.686}]",
1092199,us-strikes-iran-by-january-31-2026-165,https://polymarket.com/event/us-strikes-iran-by-january-31-2026-165,https://embed.polymarket.com/market.html?market=us-strikes-iran-by-january-31-2026-165&features=volume&theme=light,"US strikes Iran by January 31, 2026?",,"24h $886,721 • spread 0.010 • TTR -0.1d",33070774.203814,886721.02539,5000,0,-0.75,-80.6452,2026-01-31T00:00:00+00:00,-0.104,1,0.01,-0.93,0.065,0,"[{""name"": ""Top"", ""bestBid"": 0.06, ""bestAsk"": 0.07}]",
1082757,will-bitcoin-reach-125k-in-january-2026,https://polymarket.com/event/will-bitcoin-reach-125k-in-january-2026,https://embed.polymarket.com/market.html?market=will-bitcoin-reach-125k-in-january-2026&features=volume&theme=light,"Will Bitcoin reach $125,000 in January?",,"24h $886,721 • spread 0.998 • TTR 1.1d",7071876.733707,886721.02539,5000,0,-0.75,-80.6452,2026-02-01T05:00:00+00:00,1.104,1,0.998,-0.999,,0,"[{""name"": ""Top"", ""bestBid"": null, ""bestAsk"": 0.001}]",0.998
